id,name,location,description,rating,image,link
0,Hotel Marina Suites By GH Suites,"Bocagrande, Cartagena de Indias","
El Hotel Marina Suites By GH Suites se encuentra en Cartagena de Indias, a solo 200 metros de la playa. Ofrece servicio de habitaciones, un centro de negocios y conexión Wi-Fi gratuita.
Las habitaciones disponen de aire acondicionado, TV, baño privado con ducha y aseo, suelo de baldosa y armario.
Hay restaurantes locales con servicio de envío de comida, y se pueden encontrar sitios para comer a menos de 5 minutos a pie.
El Hotel Marina Suites By GH Suites se halla a solo 1 km del centro histórico de Cartagena de Indias, a 200 metros del centro comercial Nao y a 7 km del aeropuerto internacional Rafael Núñez. 
",3,https://cf.bstatic.com/xdata/images/hotel/square600/244648376.jpg?k=0c139f7385d31f0c20befb281a3dadb688f6664f8b1957b957ff42cabd2734ae&o=,https://www.booking.com/hotel/co/marina-suite.es.html?label=gen173nr-1FCAEoggI46AdIM1gEaLACiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKUm9mFBsACAdICJGU4NDBmNjllLTE2MjctNDI0Yy1hYjFkLTU2MWNlNDE0MGM2M9gCBeACAQ&sid=1351397e42b4c8f56d448ba7c1e5f68d&all_sr_blocks=78044501_287627930_2_1_0&checkin=2021-09-19&checkout=2021-09-25&dest_id=47&dest_type=country&group_adults=2&group_children=0&hapos=1&highlighted_blocks=78044501_287627930_2_1_0&hpos=1&no_rooms=1&sr_order=popularity&sr_pri_blocks=78044501_287627930_2_1_0__62100600&srepoch=1622898927&srpvid=8aa05d37eb5a0037&ucfs=1&sig=v13ET-q_9L&from=searchresults;highlight_room=#hotelTmpl
1,Hotel Fenix Beach Cartagena,Tierra Bomba,"
El Hotel Fenix ​​Beach Cartagena se encuentra en la isla de Tierra Bomba, a 10 minutos en barco de Cartagena. El establecimiento dispone de playa, bar y restaurante.
Las habitaciones cuentan con aire acondicionado, ventilador y baño privado con ducha. Algunas habitaciones gozan de vistas al jardín. El establecimiento sirve un delicioso desayuno americano que incluye huevos, diferentes tipos de pan, una bebida caliente y zumo natural.
El Hotel Fenix ​​Beach Cartagena ofrece jardín, terraza, bar, piscina al aire libre y zona común con hamacas. Hay WiFi gratuita en todas las instalaciones.
El alojamiento se encuentra en una isla, a 15 minutos del centro histórico de Cartagena y a 10 km del aeropuerto internacional Rafael Núñez. 
",4,https://cf.bstatic.com/xdata/images/hotel/square600/217661066.jpg?k=c6eb9f6271cf68f3d3acfa60cbc8fc5186cee7766d2fe57f267f8477140e229f&o=,https://www.booking.com/hotel/co/playa-vista.es.html?label=gen173nr-1FCAEoggI46AdIM1gEaLACiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKUm9mFBsACAdICJGU4NDBmNjllLTE2MjctNDI0Yy1hYjFkLTU2MWNlNDE0MGM2M9gCBeACAQ&sid=1351397e42b4c8f56d448ba7c1e5f68d&all_sr_blocks=87226910_298815822_2_1_0&checkin=2021-09-19&checkout=2021-09-25&dest_id=47&dest_type=country&group_adults=2&group_children=0&hapos=2&highlighted_blocks=87226910_298815822_2_1_0&hpos=2&no_rooms=1&sr_order=popularity&sr_pri_blocks=87226910_298815822_2_1_0__253260000&srepoch=1622898927&srpvid=8aa05d37eb5a0037&ucfs=1&sig=v1Y77iURcu&from=searchresults;highlight_room=#hotelTmpl
2,Mercure Bogota Calle 100,"Chapinero, Bogotá","
El Mercure Bogotá Calle 100 se encuentra en la zona de El Chico, cerca del principal distrito financiero y de ocio, y ofrece un gimnasio y un restaurante en el centro de Bogotá. Dispone de sauna, bar, conexión Wi-Fi gratuita y aparcamiento gratuito. Hay un servicio gratuito de enlace con el aeropuerto disponible las 24 horas.
Las habitaciones del Mercure Bogotá Calle 100 tienen suelo de moqueta, TV de pantalla plana, aire acondicionado, calefacción y muebles elegantes. Todas tienen baño privado.
Todos los días se sirve un desayuno bufé. El restaurante del establecimiento prepara platos internacionales, especialidades colombianas y platos vegetarianos.
El Mercure Bogotá Calle 100 se encuentra a 30 minutos en coche del aeropuerto internacional El Dorado. 
",4,https://cf.bstatic.com/xdata/images/hotel/square600/260143637.jpg?k=ce86acaac05343b96422ad91a5c42917b1d8ad5465fe203635737351f5aeb2ce&o=,https://www.booking.com/hotel/co/atton-bogota-100.es.html?label=gen173nr-1FCAEoggI46AdIM1gEaLACiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKUm9mFBsACAdICJGU4NDBmNjllLTE2MjctNDI0Yy1hYjFkLTU2MWNlNDE0MGM2M9gCBeACAQ&sid=1351397e42b4c8f56d448ba7c1e5f68d&all_sr_blocks=44529304_183381623_2_0_0&checkin=2021-09-19&checkout=2021-09-25&dest_id=47&dest_type=country&group_adults=2&group_children=0&hapos=3&highlighted_blocks=44529304_183381623_2_0_0&hpos=3&no_rooms=1&sr_order=popularity&sr_pri_blocks=44529304_183381623_2_0_0__81400000&srepoch=1622898927&srpvid=8aa05d37eb5a0037&ucfs=1&sig=v19BIxnm5C&from=searchresults;highlight_room=#hotelTmpl
3,"Hotel Pasajero Suites, Corferias","Teusaquillo, Bogotá","
Este hotel está situado en Bogotá, a 5 minutos a pie del centro de convenciones de Corferias y a 5 minutos en coche de la embajada de Estados Unidos. Ofrece habitaciones confortables con conexión Wi-Fi gratuita.
Las habitaciones del Hotel Pasajero Suites disponen de baño privado con ducha y agua caliente las 24 horas y TV LED Smart.
El hotel cuenta con recepción 24 horas con consigna de equipaje y sirve cada mañana un desayuno americano con café colombiano recién hecho.
El Pasajero Suites está a 10 minutos en coche del aeropuerto internacional El Dorado y a 15 minutos en coche del Museo del Oro. 
",3,https://cf.bstatic.com/xdata/images/hotel/square600/91777002.jpg?k=70fd1355746e7f4bd3547c6db39b247bcb6af5a7c5ed4ca6fcf8150ae4bad902&o=,https://www.booking.com/hotel/co/pasajero-suites.es.html?label=gen173nr-1FCAEoggI46AdIM1gEaLACiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKUm9mFBsACAdICJGU4NDBmNjllLTE2MjctNDI0Yy1hYjFkLTU2MWNlNDE0MGM2M9gCBeACAQ&sid=1351397e42b4c8f56d448ba7c1e5f68d&all_sr_blocks=56957702_287613773_0_0_0&checkin=2021-09-19&checkout=2021-09-25&dest_id=47&dest_type=country&group_adults=2&group_children=0&hapos=4&highlighted_blocks=56957702_287613773_0_0_0&hpos=4&no_rooms=1&sr_order=popularity&sr_pri_blocks=56957702_287613773_0_0_0__35667600&srepoch=1622898927&srpvid=8aa05d37eb5a0037&ucfs=1&sig=v1IWJ-7Uhi&from=searchresults;highlight_room=#hotelTmpl
4,Jackson House Inn,San Andrés,"
El Jackson House Inn se encuentra in San Andrés y ofrece conexión WiFi gratuita. Esta posada está a 5 minutos a pie de la playa de Spratt Bright.
Las habitaciones disponen de TV por cable y cocina o zona de cocina con microondas y horno. El baño compartido incluye ducha. Se proporciona ropa de cama.
El Jackson House Inn cuenta con cocina compartida, salón compartido, lavadora y aparcamiento gratuito.
La posada se halla a 500 metros de la bahía de San Andrés y a 600 metros de North End. El Palacio de los Corales está a 100 metros y las playas de San Luis, a 3 km. 
",3,https://cf.bstatic.com/xdata/images/hotel/square600/198684906.jpg?k=c80059bc1a70fde9c007d3b93fc8f86ff26c52ac7c5d222421e4d77612459af2&o=,https://www.booking.com/hotel/co/jackson-house-inn.es.html?label=gen173nr-1FCAEoggI46AdIM1gEaLACiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKUm9mFBsACAdICJGU4NDBmNjllLTE2MjctNDI0Yy1hYjFkLTU2MWNlNDE0MGM2M9gCBeACAQ&sid=1351397e42b4c8f56d448ba7c1e5f68d&all_sr_blocks=130133004_241731221_2_42_0&checkin=2021-09-19&checkout=2021-09-25&dest_id=47&dest_type=country&group_adults=2&group_children=0&hapos=5&highlighted_blocks=130133004_241731221_2_42_0&hpos=5&no_rooms=1&sr_order=popularity&sr_pri_blocks=130133004_241731221_2_42_0__66000000&srepoch=1622898927&srpvid=8aa05d37eb5a0037&ucfs=1&sig=v1ihslK8ba&from=searchresults;highlight_room=#hotelTmpl
5,Backpackers And Travellers Hostel,Neiva,"
El Backpackers And Travellers Hostel está situado en Neiva y dispone de restaurante, bar, salón compartido y jardín. El establecimiento ofrece servicio de habitaciones, centro de negocios y WiFi gratuita en todas las instalaciones. Ofrece recepción 24 horas, cocina compartida y servicio de cambio de divisa.
Todas las habitaciones del albergue están equipadas con armario. También hay microondas.
El Backpackers And Travellers Hostel sirve un desayuno americano o vegetariano.
El alojamiento dispone de bañera de hidromasaje. La zona es ideal para practicar ciclismo. El Backpackers And Travellers Hostel ofrece servicio de alquiler de coches.
El albergue está a 1 km del aeropuerto Benito Salas, el más cercano, y ofrece un servicio de enlace con el aeropuerto por un suplemento. 
",4,https://cf.bstatic.com/xdata/images/hotel/square600/166335982.jpg?k=2813581fb49a0bd13c77b788a294916c825c054de26c19191c92eb52e00b7f89&o=,https://www.booking.com/hotel/co/hostel-backpacagers-and-travelers.es.html?label=gen173nr-1FCAEoggI46AdIM1gEaLACiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKUm9mFBsACAdICJGU4NDBmNjllLTE2MjctNDI0Yy1hYjFkLTU2MWNlNDE0MGM2M9gCBeACAQ&sid=1351397e42b4c8f56d448ba7c1e5f68d&all_sr_blocks=231920215_215792255_0_1_0&checkin=2021-09-19&checkout=2021-09-25&dest_id=47&dest_type=country&group_adults=2&group_children=0&hapos=6&highlighted_blocks=231920215_215792255_0_1_0&hpos=6&no_rooms=1&sr_order=popularity&sr_pri_blocks=231920215_215792255_0_1_0__39000000&srepoch=1622898927&srpvid=8aa05d37eb5a0037&ucfs=1&sig=v1L4RGRvAJ&from=searchresults;highlight_room=#hotelTmpl
6,Hotel Regatta Cartagena,"Bocagrande, Cartagena de Indias","
El Hotel Regatta está situado frente a la playa de Cartagena, cerca del centro histórico de la ciudad, y ofrece habitaciones con una decoración alegre, WiFi gratuita y vistas panorámicas al mar. Tiene azotea con piscina y se facilita un servicio de masajes relajantes.
Las habitaciones del Regatta Cartagena reciben mucha luz natural y presentan una decoración colorida en tonos naranja y rojo. Disponen de aire acondicionado, minibar y TV vía satélite.
El restaurante a la carta del hotel Regatta sirve platos de la cocina regional. Además, el bar del vestíbulo ofrece cócteles exóticos. Se sirve un desayuno buffet a diario con fruta fresca y zumo natural.
El Hotel Regatta Cartagena cuenta con aparcamiento gratuito y mostrador de información turística con servicio de reserva de excursiones por la ciudad. 
",3,https://cf.bstatic.com/xdata/images/hotel/square600/300030483.jpg?k=1c118899b8e8e71c672fc685f089a9cf7d0dd0df3cd3c06fc1a12fb36cb19e7a&o=,https://www.booking.com/hotel/co/regatta-cartagena.es.html?label=gen173nr-1FCAEoggI46AdIM1gEaLACiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKUm9mFBsACAdICJGU4NDBmNjllLTE2MjctNDI0Yy1hYjFkLTU2MWNlNDE0MGM2M9gCBeACAQ&sid=1351397e42b4c8f56d448ba7c1e5f68d&all_sr_blocks=28343901_279206574_2_1_0&checkin=2021-09-19&checkout=2021-09-25&dest_id=47&dest_type=country&group_adults=2&group_children=0&hapos=7&highlighted_blocks=28343901_279206574_2_1_0&hpos=7&no_rooms=1&sr_order=popularity&sr_pri_blocks=28343901_279206574_2_1_0__160200000&srepoch=1622898927&srpvid=8aa05d37eb5a0037&ucfs=1&sig=v1K5dV8WlS&from=searchresults;highlight_room=#hotelTmpl
7,Florentina Symbiosis,"El Poblado, Medellín","
El Florentina Symbiosis ofrece zona de barbacoa y terraza y se encuentra en Medellín, a 800 metros del parque El Poblado y a 1 km del parque Lleras. El establecimiento cuenta con restaurante, recepción 24 horas, cocina compartida y WiFi gratuita. El alojamiento cuenta con servicio de habitaciones, salón compartido y servicio de cambio de divisa.
Los huéspedes del albergue pueden disfrutar de un desayuno a la carta o un desayuno americano.
Los huéspedes del Florentina Symbiosis podrán disfrutar de actividades en Medellín y sus alrededores, como ciclismo.
Entre los lugares de interés cercanos al alojamiento se incluyen el parque Linear, el parque del Dancer y el Museo de Arte Moderno de Medellín. El aeropuerto más cercano es el Olaya Herrera, a 2 km del Florentina Symbiosis. El establecimiento ofrece un servicio de enlace con el aeropuerto por un suplemento. 
",4,https://cf.bstatic.com/xdata/images/hotel/square600/295989964.jpg?k=8c2bd0ecf45d1f08b1eef9ca8edb3224ecd1955e58faf3ac3564daf740224226&o=,https://www.booking.com/hotel/co/florentina-hostal.es.html?label=gen173nr-1FCAEoggI46AdIM1gEaLACiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKUm9mFBsACAdICJGU4NDBmNjllLTE2MjctNDI0Yy1hYjFkLTU2MWNlNDE0MGM2M9gCBeACAQ&sid=1351397e42b4c8f56d448ba7c1e5f68d&all_sr_blocks=192136220_201248092_2_1_0&checkin=2021-09-19&checkout=2021-09-25&dest_id=47&dest_type=country&group_adults=2&group_children=0&hapos=8&highlighted_blocks=192136220_201248092_2_1_0&hpos=8&no_rooms=1&sr_order=popularity&sr_pri_blocks=192136220_201248092_2_1_0__45000000&srepoch=1622898927&srpvid=8aa05d37eb5a0037&ucfs=1&sig=v1_Bgojtb-&from=searchresults;highlight_room=#hotelTmpl
8,Yolo Hostel Medellin,"El Poblado, Medellín","
El Yolo Hostel Medellin se encuentra en Medellín, a menos de 1 km del parque Lleras, y ofrece alojamiento con bicicletas gratuitas, aparcamiento privado gratuito, bar y salón compartido. El establecimiento está a 1,3 km del parque El Poblado y a 6 km de Pueblito Paisa, y ofrece jardín y zona de barbacoa. El alojamiento ofrece recepción 24 horas, servicio de enlace con el aeropuerto, cocina compartida y conexión WiFi gratuita en todas las instalaciones.
El albergue sirve un desayuno vegetariano todas las mañanas.
Los huéspedes del Yolo Hostel Medellín podrán disfrutar de actividades en Medellín y sus alrededores, como ciclismo.
El alojamiento está a 8 km de la avenida 70 y a 7 km de la plaza de toros La Macarena. El aeropuerto Olaya Herrera es el más cercano y está a 3 km del Yolo Hostel Medellin. 
",4,https://cf.bstatic.com/xdata/images/hotel/square600/230082173.jpg?k=8770e7294ba58974eeb3c20962718e24df891442432a0238408f46004f3522b0&o=,https://www.booking.com/hotel/co/yolo-hostel-medellin.es.html?label=gen173nr-1FCAEoggI46AdIM1gEaLACiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKUm9mFBsACAdICJGU4NDBmNjllLTE2MjctNDI0Yy1hYjFkLTU2MWNlNDE0MGM2M9gCBeACAQ&sid=1351397e42b4c8f56d448ba7c1e5f68d&all_sr_blocks=202453105_204038571_2_1_0&checkin=2021-09-19&checkout=2021-09-25&dest_id=47&dest_type=country&group_adults=2&group_children=0&hapos=9&highlighted_blocks=202453105_204038571_2_1_0&hpos=9&no_rooms=1&sr_order=popularity&sr_pri_blocks=202453105_204038571_2_1_0__54000000&srepoch=1622898927&srpvid=8aa05d37eb5a0037&ucfs=1&sig=v1v9CFH-tT&from=searchresults;highlight_room=#hotelTmpl
9,Hotel Santa Marta by MIJ,"Centro histórico, Santa Marta","
 Está en nuestra selección para Santa Marta.  Hotel Santa Marta by MIJ se encuentra en Santa Marta, a solo 250 metros de la catedral y a 200 metros del Museo del Oro de Tayrona y la Casa de la Aduana, y dispone de piscina. Este hotel moderno ofrece WiFi gratuita y un salón en la azotea con vistas a la ciudad.
Las habitaciones son amplias y tienen aire acondicionado, TV de pantalla plana, minibar, un armario pequeño y un baño privado con ducha y aseo.
Hotel Santa Marta by MIJ dispone de recepción abierta las 24 horas y un salón compartido con zona de TV. Se encuentra a unos 5 minutos a pie de algunos bares y restaurantes.
El establecimiento ofrece servicio de información turística y está a unos 5 minutos en coche de la Quinta de San Pedro Alejandrino. El aeropuerto Simón Bolívar se halla a unos 20 minutos en coche. 
",4,https://cf.bstatic.com/xdata/images/hotel/square600/271294100.jpg?k=09fa405f1257db18c293e4c0bdf06f6a065a3b1e81426bf45c3d991775473c55&o=,https://www.booking.com/hotel/co/la-calzada-del-santo.es.html?label=gen173nr-1FCAEoggI46AdIM1gEaLACiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKUm9mFBsACAdICJGU4NDBmNjllLTE2MjctNDI0Yy1hYjFkLTU2MWNlNDE0MGM2M9gCBeACAQ&sid=1351397e42b4c8f56d448ba7c1e5f68d&all_sr_blocks=85719102_278988197_2_2_0&checkin=2021-09-19&checkout=2021-09-25&dest_id=47&dest_type=country&group_adults=2&group_children=0&hapos=10&highlighted_blocks=85719102_278988197_2_2_0&hpos=10&no_rooms=1&sr_order=popularity&sr_pri_blocks=85719102_278988197_2_2_0__86803100&srepoch=1622898927&srpvid=8aa05d37eb5a0037&ucfs=1&sig=v1DRF4b7gm&from=searchresults;highlight_room=#hotelTmpl
